127.0.0.1 - - [21/Nov/2014:05:10:13 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:10:14 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:15:56 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:39:05 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:40:08 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:42:51 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:44:53 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:44:53 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:44:53 +0800] "GET /neu.edu.cs5200/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:45:54 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:45:54 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:46:54 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:46:54 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:04 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:04 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:51 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:51 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:53 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:47:53 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:53:33 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:53:33 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:53:36 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:53:36 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:56:07 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:56:07 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:56:10 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Nov/2014:05:56:10 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:00:35 +0800] "GET /neu.edu.cs5200/testJS.jsp HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:00:41 +0800] "GET /neu.edu.cs5200/testJS.jsp?name=Skinrender&action=search HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:10 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:10 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:18 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:18 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:58 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:09:58 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:10:17 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [21/Nov/2014:06:10:17 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
