127.0.0.1 - - [25/Nov/2014:06:14:41 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:44 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:44 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:44 +0800] "GET /neu.edu.cs5200/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:51 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:51 +0800] "GET /neu.edu.cs5200/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:51 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:51 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:57 +0800] "GET /neu.edu.cs5200/SearchName?name=Skinrender&action=search HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:14:57 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:58:51 +0800] "GET /neu.edu.cs5200/SearchName?name=Skinrender&action=search HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [25/Nov/2014:06:58:51 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:01 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:01 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:06 +0800] "GET /neu.edu.cs5200/SearchName?name=Skinrender&action=search HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:06 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:09 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Nov/2014:07:13:12 +0800] "GET /neu.edu.cs5200/SearchName?name=Skinrend&action=search HTTP/1.1" 302 -
